Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss: 448.6506 | w0: 1.0000 | r0: 0.3078 | st0: 1.0335 | sd0: 0.9718 | gamma0: 0.000000 | lr : 0.20000000 
Step: 1 | Loss: 260.3142 | w0: 1.0000 | r0: 0.6019 | st0: 0.9378 | sd0: 1.0082 | gamma0: 0.015176 | lr : 0.20000000 
tick 0     kimg 0.0       time 9s           sec/tick 5.1     sec/kimg 160.40  maintenance 4.2    gpumem 5.72   reserved 5.74  
Step: 0 | Loss: 348.5983 | w0: 1.0000 | r0: 0.3520 | st0: 1.0138 | sd0: 0.9754 | gamma0: 0.000000 | lr : 0.19999521 
Step: 1 | Loss: 275.6224 | w0: 1.0000 | r0: 0.6487 | st0: 0.9203 | sd0: 1.0033 | gamma0: 0.014802 | lr : 0.19999521 
Step: 0 | Loss: 292.3177 | w0: 1.0000 | r0: 0.3984 | st0: 0.9946 | sd0: 0.9778 | gamma0: 0.000000 | lr : 0.19998086 
Step: 1 | Loss: 252.0628 | w0: 1.0000 | r0: 0.6891 | st0: 0.9105 | sd0: 1.0043 | gamma0: 0.014966 | lr : 0.19998086 
Step: 0 | Loss: 251.3210 | w0: 1.0000 | r0: 0.4419 | st0: 0.9756 | sd0: 0.9795 | gamma0: 0.000000 | lr : 0.19995694 
Step: 1 | Loss: 267.3122 | w0: 1.0000 | r0: 0.6870 | st0: 0.9137 | sd0: 1.0076 | gamma0: 0.015141 | lr : 0.19995694 
Step: 0 | Loss: 234.4483 | w0: 1.0000 | r0: 0.4846 | st0: 0.9568 | sd0: 0.9814 | gamma0: 0.000000 | lr : 0.19992345 
Step: 1 | Loss: 266.7281 | w0: 1.0000 | r0: 0.6690 | st0: 0.9194 | sd0: 1.0114 | gamma0: 0.015254 | lr : 0.19992345 
Step: 0 | Loss: 229.0839 | w0: 1.0000 | r0: 0.5298 | st0: 0.9397 | sd0: 0.9844 | gamma0: 0.000000 | lr : 0.19988039 
Step: 1 | Loss: 305.1375 | w0: 1.0000 | r0: 0.6409 | st0: 0.9284 | sd0: 1.0153 | gamma0: 0.015470 | lr : 0.19988039 
Step: 0 | Loss: 129.3054 | w0: 1.0000 | r0: 0.5318 | st0: 0.9322 | sd0: 0.9879 | gamma0: 0.000000 | lr : 0.19982778 
Step: 1 | Loss: 223.3967 | w0: 1.0000 | r0: 0.6058 | st0: 0.9388 | sd0: 1.0193 | gamma0: 0.015665 | lr : 0.19982778 
Step: 0 | Loss: 109.8925 | w0: 1.0000 | r0: 0.5145 | st0: 0.9297 | sd0: 0.9920 | gamma0: 0.000000 | lr : 0.19976562 
Step: 1 | Loss: 234.8463 | w0: 1.0000 | r0: 0.5663 | st0: 0.9500 | sd0: 1.0231 | gamma0: 0.015856 | lr : 0.19976562 
Step: 0 | Loss:  59.7235 | w0: 1.0000 | r0: 0.5008 | st0: 0.9262 | sd0: 0.9963 | gamma0: 0.000000 | lr : 0.19969391 
Step: 1 | Loss: 241.3290 | w0: 1.0000 | r0: 0.5287 | st0: 0.9637 | sd0: 1.0265 | gamma0: 0.015950 | lr : 0.19969391 
Step: 0 | Loss:  39.7514 | w0: 1.0000 | r0: 0.5049 | st0: 0.9187 | sd0: 1.0009 | gamma0: 0.000000 | lr : 0.19961266 
Step: 1 | Loss: 198.0249 | w0: 1.0000 | r0: 0.4872 | st0: 0.9793 | sd0: 1.0297 | gamma0: 0.016021 | lr : 0.19961266 
Step: 0 | Loss:  80.3422 | w0: 1.0000 | r0: 0.4932 | st0: 0.9146 | sd0: 1.0042 | gamma0: 0.000000 | lr : 0.19952188 
Step: 1 | Loss: 218.4544 | w0: 1.0000 | r0: 0.4435 | st0: 0.9820 | sd0: 1.0302 | gamma0: 0.016153 | lr : 0.19952188 
Step: 0 | Loss:  67.7154 | w0: 1.0000 | r0: 0.4704 | st0: 0.9153 | sd0: 1.0046 | gamma0: 0.000000 | lr : 0.19942157 
Step: 1 | Loss: 185.1243 | w0: 1.0000 | r0: 0.4116 | st0: 0.9764 | sd0: 1.0290 | gamma0: 0.016329 | lr : 0.19942157 
Step: 0 | Loss:  39.8398 | w0: 1.0000 | r0: 0.4400 | st0: 0.9164 | sd0: 1.0051 | gamma0: 0.000000 | lr : 0.19931176 
Step: 1 | Loss: 227.8468 | w0: 1.0000 | r0: 0.3798 | st0: 0.9734 | sd0: 1.0279 | gamma0: 0.016433 | lr : 0.19931176 
Step: 0 | Loss:  53.0831 | w0: 1.0000 | r0: 0.4413 | st0: 0.9124 | sd0: 1.0041 | gamma0: 0.000000 | lr : 0.19919244 
Step: 1 | Loss: 191.2331 | w0: 1.0000 | r0: 0.3570 | st0: 0.9670 | sd0: 1.0266 | gamma0: 0.016477 | lr : 0.19919244 
Step: 0 | Loss:  31.9512 | w0: 1.0000 | r0: 0.4458 | st0: 0.9077 | sd0: 1.0020 | gamma0: 0.000000 | lr : 0.19906363 
Step: 1 | Loss: 171.3766 | w0: 1.0000 | r0: 0.3363 | st0: 0.9575 | sd0: 1.0244 | gamma0: 0.016483 | lr : 0.19906363 
Step: 0 | Loss:  33.7448 | w0: 1.0000 | r0: 0.4466 | st0: 0.9041 | sd0: 0.9994 | gamma0: 0.000000 | lr : 0.19892535 
Step: 1 | Loss: 167.5451 | w0: 1.0000 | r0: 0.3143 | st0: 0.9454 | sd0: 1.0217 | gamma0: 0.016450 | lr : 0.19892535 
Step: 0 | Loss:  31.5032 | w0: 1.0000 | r0: 0.4425 | st0: 0.9035 | sd0: 0.9977 | gamma0: 0.000000 | lr : 0.19877761 
Step: 1 | Loss: 152.5081 | w0: 1.0000 | r0: 0.2894 | st0: 0.9395 | sd0: 1.0209 | gamma0: 0.016510 | lr : 0.19877761 
Step: 0 | Loss:  30.1904 | w0: 1.0000 | r0: 0.4356 | st0: 0.9022 | sd0: 0.9966 | gamma0: 0.000000 | lr : 0.19862041 
Step: 1 | Loss: 188.7732 | w0: 1.0000 | r0: 0.2653 | st0: 0.9335 | sd0: 1.0209 | gamma0: 0.016539 | lr : 0.19862041 
Step: 0 | Loss:  27.3839 | w0: 1.0000 | r0: 0.4237 | st0: 0.9032 | sd0: 0.9959 | gamma0: 0.000000 | lr : 0.19845379 
Step: 1 | Loss: 139.1890 | w0: 1.0000 | r0: 0.2444 | st0: 0.9268 | sd0: 1.0209 | gamma0: 0.016526 | lr : 0.19845379 
Step: 0 | Loss:  20.5159 | w0: 1.0000 | r0: 0.4051 | st0: 0.9077 | sd0: 0.9963 | gamma0: 0.000000 | lr : 0.19827775 
Step: 1 | Loss: 181.5273 | w0: 1.0000 | r0: 0.2227 | st0: 0.9243 | sd0: 1.0205 | gamma0: 0.016544 | lr : 0.19827775 
Step: 0 | Loss:  15.3105 | w0: 1.0000 | r0: 0.3991 | st0: 0.9052 | sd0: 0.9980 | gamma0: 0.000000 | lr : 0.19809232 
Step: 1 | Loss: 148.4126 | w0: 1.0000 | r0: 0.2016 | st0: 0.9229 | sd0: 1.0210 | gamma0: 0.016527 | lr : 0.19809232 
Step: 0 | Loss:  15.0096 | w0: 1.0000 | r0: 0.3933 | st0: 0.9012 | sd0: 1.0003 | gamma0: 0.000000 | lr : 0.19789751 
Step: 1 | Loss: 152.9628 | w0: 1.0000 | r0: 0.1849 | st0: 0.9245 | sd0: 1.0216 | gamma0: 0.016521 | lr : 0.19789751 
Step: 0 | Loss:  10.1476 | w0: 1.0000 | r0: 0.3795 | st0: 0.8998 | sd0: 1.0017 | gamma0: 0.000000 | lr : 0.19769333 
Step: 1 | Loss: 168.2247 | w0: 1.0000 | r0: 0.1743 | st0: 0.9222 | sd0: 1.0199 | gamma0: 0.016466 | lr : 0.19769333 
Step: 0 | Loss:  15.0099 | w0: 1.0000 | r0: 0.3545 | st0: 0.9014 | sd0: 1.0031 | gamma0: 0.000000 | lr : 0.19747982 
Step: 1 | Loss: 178.0634 | w0: 1.0000 | r0: 0.1685 | st0: 0.9181 | sd0: 1.0173 | gamma0: 0.016337 | lr : 0.19747982 
Step: 0 | Loss:  11.5173 | w0: 1.0000 | r0: 0.3341 | st0: 0.9016 | sd0: 1.0029 | gamma0: 0.000000 | lr : 0.19725700 
Step: 1 | Loss: 146.6770 | w0: 1.0000 | r0: 0.1655 | st0: 0.9101 | sd0: 1.0139 | gamma0: 0.016213 | lr : 0.19725700 
Step: 0 | Loss:   5.7787 | w0: 1.0000 | r0: 0.3146 | st0: 0.9014 | sd0: 1.0014 | gamma0: 0.000000 | lr : 0.19702488 
Step: 1 | Loss: 123.1197 | w0: 1.0000 | r0: 0.1674 | st0: 0.8997 | sd0: 1.0099 | gamma0: 0.016056 | lr : 0.19702488 
Step: 0 | Loss:   1.8974 | w0: 1.0000 | r0: 0.2971 | st0: 0.9003 | sd0: 0.9992 | gamma0: 0.000000 | lr : 0.19678349 
Step: 1 | Loss: 134.3698 | w0: 1.0000 | r0: 0.1692 | st0: 0.8887 | sd0: 1.0055 | gamma0: 0.015883 | lr : 0.19678349 
Step: 0 | Loss:   6.4638 | w0: 1.0000 | r0: 0.2793 | st0: 0.8998 | sd0: 0.9971 | gamma0: 0.000000 | lr : 0.19653285 
