Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss: 165.2758 | w0: 1.0000 | r0: 0.7456 | st0: 1.0247 | sd0: 1.0014 | gamma0: 0.000000 | gamma_off | lr : 0.20000000 
Step: 1 | Loss: 248.3785 | w0: 1.0000 | r0: 0.4988 | st0: 1.1754 | sd0: 1.0405 | gamma0: 0.000000 | gamma_off | lr : 0.20000000 
tick 0     kimg 0.0       time 10s          sec/tick 5.3     sec/kimg 165.94  maintenance 4.5    gpumem 5.72   reserved 5.74  
Step: 0 | Loss: 178.6003 | w0: 1.0000 | r0: 0.7058 | st0: 1.0441 | sd0: 1.0064 | gamma0: 0.000000 | gamma_off | lr : 0.19999521 
Step: 1 | Loss: 241.1628 | w0: 1.0000 | r0: 0.4490 | st0: 1.1796 | sd0: 1.0421 | gamma0: 0.000000 | gamma_off | lr : 0.19999521 
Step: 0 | Loss: 234.2286 | w0: 1.0000 | r0: 0.7194 | st0: 1.0345 | sd0: 1.0047 | gamma0: 0.000000 | gamma_off | lr : 0.19998086 
Step: 1 | Loss: 254.8341 | w0: 1.0000 | r0: 0.4060 | st0: 1.1765 | sd0: 1.0409 | gamma0: 0.000000 | gamma_off | lr : 0.19998086 
Step: 0 | Loss: 173.0825 | w0: 1.0000 | r0: 0.7145 | st0: 1.0243 | sd0: 1.0021 | gamma0: 0.000000 | gamma_off | lr : 0.19995694 
Step: 1 | Loss: 212.8017 | w0: 1.0000 | r0: 0.3619 | st0: 1.1728 | sd0: 1.0394 | gamma0: 0.000000 | gamma_off | lr : 0.19995694 
Step: 0 | Loss: 210.1379 | w0: 1.0000 | r0: 0.7025 | st0: 1.0244 | sd0: 1.0039 | gamma0: 0.000000 | gamma_off | lr : 0.19992345 
Step: 1 | Loss: 202.4044 | w0: 1.0000 | r0: 0.3221 | st0: 1.1687 | sd0: 1.0376 | gamma0: 0.000000 | gamma_off | lr : 0.19992345 
Step: 0 | Loss: 166.3364 | w0: 1.0000 | r0: 0.6883 | st0: 1.0311 | sd0: 1.0048 | gamma0: 0.000000 | gamma_off | lr : 0.19988039 
Step: 1 | Loss: 188.9368 | w0: 1.0000 | r0: 0.2877 | st0: 1.1649 | sd0: 1.0354 | gamma0: 0.000000 | gamma_off | lr : 0.19988039 
Step: 0 | Loss: 186.6439 | w0: 1.0000 | r0: 0.6807 | st0: 1.0317 | sd0: 1.0037 | gamma0: 0.000000 | gamma_off | lr : 0.19982778 
Step: 1 | Loss: 218.9107 | w0: 1.0000 | r0: 0.2594 | st0: 1.1604 | sd0: 1.0334 | gamma0: 0.000000 | gamma_off | lr : 0.19982778 
Step: 0 | Loss: 129.5199 | w0: 1.0000 | r0: 0.6817 | st0: 1.0330 | sd0: 1.0024 | gamma0: 0.000000 | gamma_off | lr : 0.19976562 
Step: 1 | Loss: 172.9474 | w0: 1.0000 | r0: 0.2327 | st0: 1.1544 | sd0: 1.0314 | gamma0: 0.000000 | gamma_off | lr : 0.19976562 
Step: 0 | Loss: 123.3404 | w0: 1.0000 | r0: 0.6844 | st0: 1.0352 | sd0: 1.0013 | gamma0: 0.000000 | gamma_off | lr : 0.19969391 
Step: 1 | Loss: 192.8660 | w0: 1.0000 | r0: 0.2069 | st0: 1.1539 | sd0: 1.0293 | gamma0: 0.000000 | gamma_off | lr : 0.19969391 
Step: 0 | Loss: 200.7977 | w0: 1.0000 | r0: 0.6942 | st0: 1.0332 | sd0: 1.0003 | gamma0: 0.000000 | gamma_off | lr : 0.19961266 
Step: 1 | Loss: 199.1100 | w0: 1.0000 | r0: 0.1914 | st0: 1.1548 | sd0: 1.0277 | gamma0: 0.000000 | gamma_off | lr : 0.19961266 
Step: 0 | Loss: 204.7756 | w0: 1.0000 | r0: 0.7032 | st0: 1.0340 | sd0: 1.0006 | gamma0: 0.000000 | gamma_off | lr : 0.19952188 
