Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  37.9995 | w0: 1.0000 | r0: 0.3078 | st0: 0.9095 | sd0: 1.0082 | gamma0: 0.000000 | lr : 0.20000000 
Step: 1 | Loss:   5.9991 | w0: 1.0000 | r0: 0.6019 | st0: 0.9108 | sd0: 1.0084 | gamma0: 0.004970 | lr : 0.20000000 
Step: 2 | Loss: 297.1632 | w0: 1.0000 | r0: 0.2179 | st0: 1.0074 | sd0: 0.9844 | gamma0: 0.007134 | lr : 0.20000000 
tick 0     kimg 0.1       time 15s          sec/tick 9.3     sec/kimg 72.64   maintenance 6.0    gpumem 23.08  reserved 23.14 
Step: 0 | Loss:  91.2355 | w0: 1.0000 | r0: 0.2669 | st0: 0.8943 | sd0: 1.0130 | gamma0: 0.000000 | lr : 0.19992489 
Step: 1 | Loss:   7.0758 | w0: 1.0000 | r0: 0.6487 | st0: 0.9275 | sd0: 1.0035 | gamma0: 0.004723 | lr : 0.19992489 
Step: 2 | Loss: 394.3327 | w0: 1.0000 | r0: 0.2539 | st0: 0.9875 | sd0: 0.9891 | gamma0: 0.006926 | lr : 0.19992489 
Step: 0 | Loss:  60.6605 | w0: 1.0000 | r0: 0.2828 | st0: 0.8828 | sd0: 1.0105 | gamma0: 0.000000 | lr : 0.19969969 
Step: 1 | Loss:   5.2147 | w0: 1.0000 | r0: 0.6833 | st0: 0.9178 | sd0: 0.9995 | gamma0: 0.004557 | lr : 0.19969969 
Step: 2 | Loss: 316.1773 | w0: 1.0000 | r0: 0.2405 | st0: 0.9706 | sd0: 0.9862 | gamma0: 0.006743 | lr : 0.19969969 
Step: 0 | Loss:  29.1985 | w0: 1.0000 | r0: 0.2865 | st0: 0.8739 | sd0: 1.0071 | gamma0: 0.000000 | lr : 0.19932475 
Step: 1 | Loss:   4.8687 | w0: 1.0000 | r0: 0.7075 | st0: 0.9055 | sd0: 0.9953 | gamma0: 0.004395 | lr : 0.19932475 
Step: 2 | Loss: 255.2573 | w0: 1.0000 | r0: 0.2291 | st0: 0.9534 | sd0: 0.9835 | gamma0: 0.006774 | lr : 0.19932475 
Step: 0 | Loss:  14.5782 | w0: 1.0000 | r0: 0.2694 | st0: 0.8689 | sd0: 1.0048 | gamma0: 0.000000 | lr : 0.19880066 
Step: 1 | Loss:   5.2170 | w0: 1.0000 | r0: 0.7234 | st0: 0.9029 | sd0: 0.9914 | gamma0: 0.004225 | lr : 0.19880066 
Step: 2 | Loss: 288.0455 | w0: 1.0000 | r0: 0.2139 | st0: 0.9370 | sd0: 0.9809 | gamma0: 0.006689 | lr : 0.19880066 
Step: 0 | Loss:   7.4793 | w0: 1.0000 | r0: 0.2556 | st0: 0.8650 | sd0: 1.0033 | gamma0: 0.000000 | lr : 0.19812825 
Step: 1 | Loss:   7.0123 | w0: 1.0000 | r0: 0.7212 | st0: 0.9026 | sd0: 0.9887 | gamma0: 0.004123 | lr : 0.19812825 
Step: 2 | Loss: 271.3394 | w0: 1.0000 | r0: 0.1978 | st0: 0.9256 | sd0: 0.9796 | gamma0: 0.006585 | lr : 0.19812825 
Step: 0 | Loss:   7.4941 | w0: 1.0000 | r0: 0.2460 | st0: 0.8612 | sd0: 1.0033 | gamma0: 0.000000 | lr : 0.19730859 
Step: 1 | Loss:   6.2301 | w0: 1.0000 | r0: 0.7130 | st0: 0.9072 | sd0: 0.9874 | gamma0: 0.004031 | lr : 0.19730859 
Step: 2 | Loss: 308.7572 | w0: 1.0000 | r0: 0.1799 | st0: 0.9191 | sd0: 0.9790 | gamma0: 0.006476 | lr : 0.19730859 
Step: 0 | Loss:  11.8338 | w0: 1.0000 | r0: 0.2459 | st0: 0.8572 | sd0: 1.0043 | gamma0: 0.000000 | lr : 0.19634297 
Step: 1 | Loss:   4.9297 | w0: 1.0000 | r0: 0.6986 | st0: 0.9145 | sd0: 0.9874 | gamma0: 0.003918 | lr : 0.19634297 
Step: 2 | Loss: 267.0298 | w0: 1.0000 | r0: 0.1627 | st0: 0.9175 | sd0: 0.9794 | gamma0: 0.006334 | lr : 0.19634297 
Step: 0 | Loss:  20.6380 | w0: 1.0000 | r0: 0.2592 | st0: 0.8526 | sd0: 1.0058 | gamma0: 0.000000 | lr : 0.19523291 
Step: 1 | Loss:   3.8645 | w0: 1.0000 | r0: 0.6817 | st0: 0.9234 | sd0: 0.9881 | gamma0: 0.003797 | lr : 0.19523291 
Step: 2 | Loss: 299.1902 | w0: 1.0000 | r0: 0.1473 | st0: 0.9189 | sd0: 0.9805 | gamma0: 0.006184 | lr : 0.19523291 
tick 1     kimg 1.2       time 37s          sec/tick 21.9    sec/kimg 21.38   maintenance 0.0    gpumem 24.71  reserved 25.33 
Step: 0 | Loss:  34.3497 | w0: 1.0000 | r0: 0.2569 | st0: 0.8485 | sd0: 1.0077 | gamma0: 0.000000 | lr : 0.19398018 
Step: 1 | Loss:   2.9757 | w0: 1.0000 | r0: 0.6633 | st0: 0.9342 | sd0: 0.9891 | gamma0: 0.003652 | lr : 0.19398018 
Step: 2 | Loss: 291.1319 | w0: 1.0000 | r0: 0.1366 | st0: 0.9211 | sd0: 0.9821 | gamma0: 0.006009 | lr : 0.19398018 
Step: 0 | Loss:  45.5166 | w0: 1.0000 | r0: 0.2546 | st0: 0.8447 | sd0: 1.0089 | gamma0: 0.000000 | lr : 0.19258676 
Step: 1 | Loss:   3.2154 | w0: 1.0000 | r0: 0.6449 | st0: 0.9434 | sd0: 0.9900 | gamma0: 0.003496 | lr : 0.19258676 
Step: 2 | Loss: 304.4008 | w0: 1.0000 | r0: 0.1294 | st0: 0.9228 | sd0: 0.9844 | gamma0: 0.005817 | lr : 0.19258676 
Step: 0 | Loss:  45.5620 | w0: 1.0000 | r0: 0.2556 | st0: 0.8414 | sd0: 1.0089 | gamma0: 0.000000 | lr : 0.19105484 
Step: 1 | Loss:   3.1189 | w0: 1.0000 | r0: 0.6253 | st0: 0.9466 | sd0: 0.9903 | gamma0: 0.003329 | lr : 0.19105484 
Step: 2 | Loss: 292.2923 | w0: 1.0000 | r0: 0.1246 | st0: 0.9237 | sd0: 0.9872 | gamma0: 0.005611 | lr : 0.19105484 
Step: 0 | Loss:  37.0571 | w0: 1.0000 | r0: 0.2619 | st0: 0.8379 | sd0: 1.0079 | gamma0: 0.000000 | lr : 0.18938685 
Step: 1 | Loss:   3.0045 | w0: 1.0000 | r0: 0.6091 | st0: 0.9451 | sd0: 0.9902 | gamma0: 0.003158 | lr : 0.18938685 
Step: 2 | Loss: 214.2245 | w0: 1.0000 | r0: 0.1230 | st0: 0.9232 | sd0: 0.9903 | gamma0: 0.005395 | lr : 0.18938685 
Step: 0 | Loss:  23.4526 | w0: 1.0000 | r0: 0.2655 | st0: 0.8351 | sd0: 1.0062 | gamma0: 0.000000 | lr : 0.18758543 
Step: 1 | Loss:   2.4668 | w0: 1.0000 | r0: 0.5924 | st0: 0.9404 | sd0: 0.9894 | gamma0: 0.002984 | lr : 0.18758543 
