Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  37.9995 | w0: 1.0000 | r0: 0.3078 | st0: 0.9095 | sd0: 1.0082 | gamma0: 0.000000 | gamma_off | lr : 0.20000000 
Step: 1 | Loss:   4.2121 | w0: 1.0000 | r0: 0.6019 | st0: 0.9108 | sd0: 1.0084 | gamma0: 0.000000 | gamma_off | lr : 0.20000000 
Step: 2 | Loss: 111.4773 | w0: 1.0000 | r0: 0.2179 | st0: 1.0074 | sd0: 0.9844 | gamma0: 0.000000 | gamma_off | lr : 0.20000000 
tick 0     kimg 0.1       time 12s          sec/tick 9.9     sec/kimg 154.29  maintenance 2.6    gpumem 23.09  reserved 23.15 
Step: 0 | Loss:   2.9209 | w0: 1.0000 | r0: 0.2518 | st0: 0.9334 | sd0: 0.9976 | gamma0: 0.000000 | gamma_off | lr : 0.19998098 
Step: 1 | Loss:   3.6316 | w0: 1.0000 | r0: 0.6146 | st0: 0.9443 | sd0: 0.9979 | gamma0: 0.000000 | gamma_off | lr : 0.19998098 
Step: 2 | Loss: 114.8212 | w0: 1.0000 | r0: 0.2775 | st0: 0.9755 | sd0: 0.9920 | gamma0: 0.000000 | gamma_off | lr : 0.19998098 
Step: 0 | Loss:   3.3816 | w0: 1.0000 | r0: 0.3116 | st0: 0.9115 | sd0: 0.9975 | gamma0: 0.000000 | gamma_off | lr : 0.19992393 
Step: 1 | Loss:   2.9411 | w0: 1.0000 | r0: 0.6399 | st0: 0.9769 | sd0: 0.9988 | gamma0: 0.000000 | gamma_off | lr : 0.19992393 
Step: 2 | Loss: 104.5867 | w0: 1.0000 | r0: 0.2412 | st0: 0.9789 | sd0: 0.9995 | gamma0: 0.000000 | gamma_off | lr : 0.19992393 
Step: 0 | Loss:   8.9549 | w0: 1.0000 | r0: 0.3555 | st0: 0.8940 | sd0: 1.0034 | gamma0: 0.000000 | gamma_off | lr : 0.19982888 
Step: 1 | Loss:   2.5617 | w0: 1.0000 | r0: 0.5988 | st0: 1.0106 | sd0: 1.0034 | gamma0: 0.000000 | gamma_off | lr : 0.19982888 
Step: 2 | Loss: 109.5332 | w0: 1.0000 | r0: 0.2013 | st0: 0.9685 | sd0: 0.9959 | gamma0: 0.000000 | gamma_off | lr : 0.19982888 
Step: 0 | Loss:  20.5413 | w0: 1.0000 | r0: 0.3510 | st0: 0.8916 | sd0: 1.0057 | gamma0: 0.000000 | gamma_off | lr : 0.19969585 
Step: 1 | Loss:   2.4350 | w0: 1.0000 | r0: 0.5508 | st0: 1.0302 | sd0: 1.0020 | gamma0: 0.000000 | gamma_off | lr : 0.19969585 
Step: 2 | Loss: 103.8022 | w0: 1.0000 | r0: 0.1779 | st0: 0.9432 | sd0: 0.9891 | gamma0: 0.000000 | gamma_off | lr : 0.19969585 
Step: 0 | Loss:   7.4107 | w0: 1.0000 | r0: 0.3154 | st0: 0.9020 | sd0: 1.0032 | gamma0: 0.000000 | gamma_off | lr : 0.19952491 
Step: 1 | Loss:   1.1423 | w0: 1.0000 | r0: 0.5024 | st0: 1.0454 | sd0: 0.9979 | gamma0: 0.000000 | gamma_off | lr : 0.19952491 
Step: 2 | Loss:  89.2017 | w0: 1.0000 | r0: 0.1603 | st0: 0.9214 | sd0: 0.9853 | gamma0: 0.000000 | gamma_off | lr : 0.19952491 
Step: 0 | Loss:   0.6587 | w0: 1.0000 | r0: 0.2780 | st0: 0.9145 | sd0: 0.9999 | gamma0: 0.000000 | gamma_off | lr : 0.19931613 
Step: 1 | Loss:   0.7894 | w0: 1.0000 | r0: 0.4661 | st0: 1.0521 | sd0: 0.9942 | gamma0: 0.000000 | gamma_off | lr : 0.19931613 
Step: 2 | Loss: 106.5330 | w0: 1.0000 | r0: 0.1513 | st0: 0.9089 | sd0: 0.9881 | gamma0: 0.000000 | gamma_off | lr : 0.19931613 
Step: 0 | Loss:   7.8787 | w0: 1.0000 | r0: 0.2767 | st0: 0.9098 | sd0: 0.9959 | gamma0: 0.000000 | gamma_off | lr : 0.19906958 
Step: 1 | Loss:   1.3684 | w0: 1.0000 | r0: 0.4505 | st0: 1.0517 | sd0: 0.9936 | gamma0: 0.000000 | gamma_off | lr : 0.19906958 
Step: 2 | Loss:  94.7903 | w0: 1.0000 | r0: 0.1402 | st0: 0.9101 | sd0: 0.9940 | gamma0: 0.000000 | gamma_off | lr : 0.19906958 
Step: 0 | Loss:   9.5223 | w0: 1.0000 | r0: 0.2848 | st0: 0.9011 | sd0: 0.9955 | gamma0: 0.000000 | gamma_off | lr : 0.19878536 
Step: 1 | Loss:   1.1125 | w0: 1.0000 | r0: 0.4376 | st0: 1.0515 | sd0: 0.9975 | gamma0: 0.000000 | gamma_off | lr : 0.19878536 
Step: 2 | Loss: 107.9504 | w0: 1.0000 | r0: 0.1226 | st0: 0.9274 | sd0: 1.0017 | gamma0: 0.000000 | gamma_off | lr : 0.19878536 
Step: 0 | Loss:   1.0569 | w0: 1.0000 | r0: 0.3094 | st0: 0.8903 | sd0: 0.9993 | gamma0: 0.000000 | gamma_off | lr : 0.19846360 
Step: 1 | Loss:   0.8270 | w0: 1.0000 | r0: 0.4449 | st0: 1.0492 | sd0: 1.0042 | gamma0: 0.000000 | gamma_off | lr : 0.19846360 
Step: 2 | Loss: 107.4009 | w0: 1.0000 | r0: 0.1075 | st0: 0.9519 | sd0: 1.0096 | gamma0: 0.000000 | gamma_off | lr : 0.19846360 
Step: 0 | Loss:   7.2548 | w0: 1.0000 | r0: 0.3330 | st0: 0.8772 | sd0: 1.0028 | gamma0: 0.000000 | gamma_off | lr : 0.19810441 
